Year,படம்,பாடல்,இசையமைப்பாளர்,Note
2019,Frozen 2 (Tamil),Nadu Kattukkul Naan,Robert Lopez Kristen Anderson-Lopez,
2019,Frozen 2 (Tamil),Thondru Nee,Robert Lopez Kristen Anderson-Lopez,
2019,Frozen 2 (Tamil),Naatkal Oda,Robert Lopez Kristen Anderson-Lopez,
2019,Frozen 2 (Tamil),Seiven Sariyanathai,Robert Lopez Kristen Anderson-Lopez,
,,,,
2019,Adithya Varma,Yaarumillaa,Radhan,
2019,Thambi,Thalattu Naal,Govind Vasantha,
,,,,
2020,தர்பார்,Chumma Kizhi,அனிருத் ரவிச்சந்தர்,
2020,தர்பார்,Tharam Maara Single,அனிருத் ரவிச்சந்தர்,
2020,தர்பார்,Dumm Dumm,அனிருத் ரவிச்சந்தர்,
,,,,
2020,பட்டாஸ்,Morattu Tamizhan,Vivek-Mervin,
2020,பட்டாஸ்,Jigidi Killadi,Vivek-Mervin,
,,,,
2020,Soorarai Pottru,Veyyon Silli,ஜி. வி. ப்ரகாஷ் குமார்,
,,,,
2020,பொன்மகள் வந்தாள்,Vaa Chellam,Govind Vasantha,
2020,பொன்மகள் வந்தாள்,Pookalin Porvai,Govind Vasantha,
,,,,
2020,பெங்குயின்,Kolame,சந்தோஷ் நாராயணன்,
2020,பெங்குயின்,Omale (Malayalam),சந்தோஷ் நாராயணன்,
,,,,
2020,Jagame Thandhiram,Rakita Rakita Rakita,,
2020,Jagame Thandhiram,Bujji,,
2020,Jagame Thandhiram,Aala Ola,,
,,,,
2020,99 Songs,Oor Aayiram Vaanavil,ஏ. ஆர். ரஹ்மான்,
2020,99 Songs,Naalai Naalai,ஏ. ஆர். ரஹ்மான்,
,,,,
2020,Vasantha Mullai,Avalo Avalo,Rajesh Murugesan,
2020,Sabhaapathy,Mayakkathe Maya Kanna,சாம் சி.எஸ்.,
,,,,
2021,Annabelle Sethupathi,Anange,Krishna Kishore,
2021,Annabelle Sethupathi,Anange(Reprise),Krishna Kishore,
,,,,
