Year,Song Count,Film,Song,Composer,Note
2020,121,Darbar,Chumma Kizhi,Anirudh Ravichander,
2020,122,Darbar,Tharam Maara Single,Anirudh Ravichander,
2020,123,Darbar,Dumm Dumm,Anirudh Ravichander,
, ,,,,
2020,124,Pattas,Morattu Tamizhan,Vivek-Mervin,
2020,125,Pattas,Jigidi Killadi,Vivek-Mervin,
, ,,,,
2020,126,Soorarai Pottru,Veyyon Silli,G.V. Prakash Kumar,
,  ,,,,
2020,127,Ponmagal Vandhal,Vaa Chellam,Govind Vasantha,
2020,128,Ponmagal Vandhal,Pookalin Porvai,Govind Vasantha,
, ,,,,
2020,129,Penguin,Kolame,Santhosh Narayanan,
2020,130,Penguin,Omale (Malayalam),Santhosh Narayanan,
, ,,,,
2020,131,Jagame Thandhiram,Rakita Rakita Rakita,,
2020,132,Jagame Thandhiram,Bujji,,
2020,133,Jagame Thandhiram,Aala Ola,,
, ,,,,
2020,134,99 Songs,Oor Aayiram Vaanavil,A. R. Rahman,
2020,135,99 Songs,Naalai Naalai,A. R. Rahman,
, ,,,,
2020,136,Vasantha Mullai,Avalo Avalo,Rajesh Murugesan,
2020,137,Sabhaapathy,Mayakkathe Maya Kanna,Sam C.S.,
, ,,,,
2021,138,Annabelle Sethupathi,Anange,Krishna Kishore,
2021,139,Annabelle Sethupathi,Anange(Reprise),Krishna Kishore,
, ,,,,
2021,140,Oh Manapenne!,Bodhai Kaname,Vishal Chandrashekhar,
2021,141,Enemy,Tum Tum,Thaman S,
2021,142,Galatta Kalyanam,Sooraavali Ponnu,A. R. Rahman,
2021,143,Anbarivu,Arakkiyae,Hiphop Tamizha,
, ,,,,
2022,144,Naai Sekar,Lol Lol Arasan,Ajesh,
, ,,,,
2022,145,Maaran,Polladha Ulagam,G.V. Prakash Kumar,Also Screenplay writer
2022,146,Maaran,Annana Thaalaattum,G.V. Prakash Kumar,
, ,,,,
2022,147,Mahaan,Evanda Enakku Custody,Santhosh Narayanan,
2022,148,Mahaan,Missing Me,Santhosh Narayanan,
2022,149,Mahaan,Naan Naan,Santhosh Narayanan,
2022,150,Mahaan,Umm Song,Santhosh Narayanan,
, ,,,,
2022,151,Veeramae Vaagai Soodum,Thithikkirathe Kangal,Yuvan Shankar Raja,
2022,152,Beast,Beast Mode,Anirudh Ravichander,
2022,153,Ranga,Mathapoo,Ramjeevan,
2022,154,Ayngaran,Thithipa,G. Vignesh,
, ,,,,
2022,155,Andhagan,En Kadhal,Santhosh Narayanan,
2022,156,Andhagan,Yosichi Yosichi,Santhosh Narayanan,
, ,,,,
2022,157,Don,Unnai Vidaadhe,Anirudh Ravichander,
2022,158,Don,Mudhal Naayagan,Anirudh Ravichander,
, ,,,,
2022,159,Bestie,Unnai Pola,J. V.,
2022,160,Anel Meley Pani Thuli,Mittai Mittai,Santhosh Narayanan,
2022,161,Paper Rocket,Kaalai Maalai,Dharan Kumar,
2022,162,Gulu Gulu,Anbarey,Santhosh Narayanan,
2022,163,Thiruchitrambalam,Life of Pazham,Anirudh Ravichander,
2022,164,Paramporul,Sippara Rippara,Yuvan Shankar Raja,
2022,165,Cobra,Thumbi Thullal,A. R. Rahman,
2022,166,Prince,Bimbiliki Pilaapi,Thaman S,
2022,167,Singappenney,Ezhundhu Vaa,Kumaran Sivamani,
2022,168,Naane Varuvean,Yaarum Illa,Yuvan Shankar Raja,
2022,169,Naai Sekar Returns,Panakkaran,Santhosh Narayanan,
2022,170,Gatta Kusthi,Chal Chakka,Justin Prabhakaran,
